$n$-tuple,$n$-յակ,,,,,,,,
$p$-adic number,$p$-ադիկ թիվ,,,,,,,,
$p$-value,$p$-արժեք,,,,,,,,
abelian group,աբելյան խումբ,,,,,,,,
absolutely continuous,բացարձակ անընդհատ,,,,,,,,
abstract algebra,աբստրակտ հանրահաշիվ,,,,,,,,
accumulation point,կուտակման կետ,,,,,,,,
additive,"ադիտիվ, երբեմն նաև՝ գումարային",,,,,,,,
additive group,գումարային խումբ,,,,,,,,
adherent point,հպման կետ,,,,,,,,
adjacency matrix,հարևանության մատրից,,,,,,,,
adjacent ,հարևան,,,,,,,,
adjoint operator,համալուծ օպերատոր,,,,,,,,
adjugate matrix,կից մատրից,,,,,,,,
admissible,թույլատրելի,,,,,,,,
affine map,աֆինական արտապատկերում,,,,,,,,
affine transformation,աֆինական ձևափոխություն,,,,,,,,
algebra,հանրահաշիվ,,,,,,,,
algebra homomorphism,հանրահաշիվների հոմոմորֆիզմ,,,,,,,,
algebraic closure,հանրահաշվական փակում / փակույթ,,,,,,,,
algebraic curve,հանրահաշվական կոր ,,,,,,,,
algebraic extension,հանրահաշվական ընդլայնում,,,,,,,,
algebraic number,հանրահաշվական թիվ,,,,,,,,
algebraic topology,հանրահաշվական տոպոլոգիա,,,,,,,,
almost everywhere (a.e.),համարյա ամենուրեք (հ․ա․),,,,,,,,
almost sure (a.s.),համարյա հավաստի (հ․հ․),,,,,,,,
alternating series,նշանափոխ շարք,,,,,,,,
altitude,բարձրություն,,,,,,,,
amalgamated free product,համաձուլված ազատ արտադրյալ,,,,,,,,
ambient space,ընդգրկող տարածություն,,,,,,,,
analytic continuation,անալիտիկ շարունակություն,,,,,,,,
analytic function,անալիտիկ ֆունկցիա,,,,,,,,
analytic geometry,վերլուծական երկրաչափություն,,,,,,,,
angle bisector,կիսորդ,,,,,,,,
annulus,օղակ,,,,,,,,
antiderivative,նախնական,,,,,,,,
antiparallel,"1․ հակուղղված (վեկտորների դեպքում), 2․ հակազուգահեռ (ուղիղների դեպքում)",,,,,,,,
apothem,հարթագիծ,,,,,,,,
applied mathematics,կիրառական մաթեմատիկա,,,,,,,,
approximate identity,միավորի մոտարկում,,,,,,,,
approximation,մոտարկում,,,,,,,,
arc,աղեղ,,,,,,,,
area,մակերես,,,,,,,,
argument principle,արգումենտի սկզբունք,,,,,,,,
arithmetic mean,միջին թվաբանական ,,,,,,,,
arithmetic progression,թվաբանական պրոգրեսիա,,,,,,,,
associative,զուգորդական,,,,,,,,
asymptotic,ասիմպտոտիկ,,,,,,,,
atlas,ատլաս,,,,,,,,
attainable,հասանելի,,,,,,,,
augmented matrix,ընդլայնված մատրից,,,,,,,,
automorphism,ավտոմորֆիզմ,,,,,,,,
automorphism group,ավտոմորֆիզմների խումբ,,,,,,,,
autonomous system,ինքնավար համակարգ,,,,,,,,
axiom,աքսիոմ,,,,,,,,
axiom of choice,ընտրության աքսիոմ,,,,,,,,
axiomatic system,աքսիոմատիկ համակարգ,,,,,,,,
axis,առանցք,,,,,,,,
backward equation,հետադարձ հավասարում,,,,,,,,
balanced set,հավասարակշռված բազմություն,,,,,,,,
ball,գունդ,,,,,,,,
Banach algebra,բանախյան հանրահաշիվ,,,,,,,,
Banach space,բանախյան տարածություն,,,,,,,,
base,"1․ բազա (տոպոլոգիայի), 2․ հիմք (աստիճան բարձրացված թիվը)",,,,,,,,
basis,"հենք, բազիս",,,,,,,,
behavior,վարք,,,,,,,,
Bernoulli trials,Բեռնուլիի փորձեր,,,,,,,,
best approximation,լավագույն մոտարկում,,,,,,,,
beta distribution,բետա բաշխում,,,,,,,,
bijective,"բիյեկտիվ, փոխմիարժեք",,,,,,,,
bilinear form,երկգծային ձև,,,,,,,,
binary relation,երկտեղ/բինար հարաբերություն,,,,,,,,
binary system,երկուական համակարգ,,,,,,,,
binomial ,երկանդամ,,,,,,,,
binomial distribution,բինոմական բաշխում,,,,,,,,
bipartite graph,երկկողմանի գրաֆ,,,,,,,,
bisection method,[միջակայքի] կիսման մեթոդ,,,,,,,,
bit,բիթ,,,,,,,,
block matrix,բլոկ-մատրից,,,,,,,,
Bolzano-Weierstrass theorem,Բոլցանո-Վայերշտրասի թեորեմ,,,,,,,,
Boolean algebra,բուլյան հանրահաշիվ,,,,,,,,
Borel set,բորելյան բազմություն,,,,,,,,
Borel-Cantelli lemma,Բորել-Կանտելիի լեմմա,,,,,,,,
boundary,"եզր, եզրագիծ",,,,,,,,
boundary condition,եզրային պայման,,,,,,,,
boundary point,եզրային կետ,,,,,,,,
bounded [from above/below],[վերևից/ներքևից] սահմանափակ,,,,,,,,
bounded variation,"վերջավոր վարիացիա, երբեմն նաև՝ սահմանափակ վարիացիա",,,,,,,,
branch,ճյուղ,,,,,,,,
branch cut,հատվածային ճեղք,,,,,,,,
branch point,ճյուղավորման կետ,,,,,,,,
Brownian motion,բրոունյան / բրաունյան շարժում,,,,,,,,
canonical map,կանոնական արտապատկերում,,,,,,,,
cardinal number,կարդինալ թիվ,,,,,,,,
cardinality,հզորություն,,,,,,,,
Cartesian product,դեկարտյան արտադրյալ,,,,,,,,
category,կատեգորիա,,,,,,,,
category theory,կատեգորիաների տեսություն,,,,,,,,
Cauchy integral formula,Կոշիի ինտեգրալային բանաձև,,,,,,,,
Cauchy integral theorem,Կոշիի ինտեգրալային թեորեմ,,,,,,,,
Cauchy problem,Կոշիի խնդիր,,,,,,,,
Cauchy sequence,"ֆունդամենտալ հաջորդականություն, Կոշիի հաջորդականություն",,,,,,,,
Cauchy-Kovalevskaya theorem,Կոշի-Կովալևսկայայի թեորեմ,,,,,,,,
Cauchy-Riemann equations,Կոշի-Ռիմանի պայմաններ / հավասարումներ,,,,,,,,
Cauchy's convergence test / criterion,Կոշիի զուգամիտության սկզբունք,,,,,,,,
center of a group,խմբի կենտրոն,,,,,,,,
central limit theorem,կենտրոնական սահմանային թեորեմ,,,,,,,,
centralizer,ցենտրալիզատոր,,,,,,,,
chain rule,շղթայի կանոն,,,,,,,,
change of basis,"հենքի փոփոխություն, անցում մի հենքից մյուսին",,,,,,,,
change of variable,փոփոխականի փոխարինում,,,,,,,,
characteristic equation,բնութագրիչ հավասարում,,,,,,,,
characteristic function,բնութագրիչ ֆունկցիա,,,,,,,,
characteristic polynomial,բնութագրիչ բազմանդամ,,,,,,,,
characterization,բնութագրում,,,,,,,,
chart,քարտեզ,,,,,,,,
chi-squared distribution,խի-քառակուսի բաշխում,,,,,,,,
Chinese remainder theorem,մնացքների չինական թեորեմ,,,,,,,,
chord,լար,,,,,,,,
Christoffel symbols,Քրիստոֆելի սիմվոլներ,,,,,,,,
circle,շրջանագիծ,,,,,,,,
circumscribed,արտագծած,,,,,,,,
class,դաս,,,,,,,,
closed curve,փակ կոր,,,,,,,,
closed graph theorem,փակ գրաֆիկի [մասին] թեորեմ,,,,,,,,
closed interval,"փակ միջակայք, հատված (սահմանափակ դեպքում)",,,,,,,,
closed map,փակ արտապատկերում,,,,,,,,
closed set,փակ բազմություն,,,,,,,,
closed under addition,գումարման նկատմամբ փակ,,,,,,,,
closure,"փակում, փակույթ",,,,,,,,
cluster point,կուտակման կետ,,,,,,,,
coarser topology,[ավելի] թույլ տոպոլոգիա,,,,,,,,
codimension,կոչափողականություն,,,,,,,,
codirectional,համուղղված,,,,,,,,
codomain,փոփոխման տիրույթ,,,,,,,,
coefficient,գործակից,,,,,,,,
cofactor,հանրահաշվական լրացում,,,,,,,,
cofinite topology,վերջավոր լրացումների տոպոլոգիա,,,,,,,,
cohomology,կոհոմոլոգիա,,,,,,,,
colinear,համագիծ,,,,,,,,
collection,"հավաքածու, համախմբություն, համախումբ",,,,,,,,
coloring,ներկում,,,,,,,,
column space,սյունային տարածություն,,,,,,,,
column vector,սյուն-վեկտոր,,,,,,,,
combinatorics,կոմբինատորիկա,,,,,,,,
commutant,կոմուտանտ,,,,,,,,
commutative,"տեղափոխական, կոմուտատիվ",,,,,,,,
commutator,կոմուտատոր,,,,,,,,
compact ,կոմպակտ,,,,,,,,
compact embedding,կոմպակտ ներդրում,,,,,,,,
compact operator,կոմպակտ օպերատոր,,,,,,,,
compactly supported,կոմպակտ կրիչով,,,,,,,,
compactness,կոմպակտություն,,,,,,,,
comparable,համեմատելի,,,,,,,,
comparison test,բաղդատման հայտանիշ,,,,,,,,
compatible,համատեղելի,,,,,,,,
complement,լրացում,,,,,,,,
complete,լրիվ ,,,,,,,,
completeness,լրիվություն,,,,,,,,
completion,լրիվացում,,,,,,,,
complex analysis,կոմպլեքս անալիզ,,,,,,,,
complex conjugate,կոմպլեքս համալուծ,,,,,,,,
complex number,կոմպլեքս թիվ,,,,,,,,
complex plane,կոմպլեքս հարթություն,,,,,,,,
complex-valued,կոմպլեքսարժեք,,,,,,,,
complexity,բարդություն,,,,,,,,
component,բաղադրիչ,,,,,,,,
component interval,բաղկացուցիչ միջակայք,,,,,,,,
composite function,բարդ ֆունկցիա,,,,,,,,
composite number,բաղադրյալ թիվ,,,,,,,,
composition,համադրույթ,,,,,,,,
computability,կարգընթացություն,,,,,,,,
computational error,հաշվողական սխալանք,,,,,,,,
concave,գոգավոր,,,,,,,,
concentric,համակենտրոն,,,,,,,,
conditional expectation,պայմանական մաթսպասում,,,,,,,,
conditional probability,պայմանական հավանականություն,,,,,,,,
conditionally convergent,պայմանական զուգամետ,,,,,,,,
cone,կոն,,,,,,,,
confidence interval,վստահության միջակայք,,,,,,,,
conformal map,կոնֆորմ արտապատկերում,,,,,,,,
congruent,կոնգրուենտ,,,,,,,,
conic,կոնական,,,,,,,,
conjugacy class,համալուծության դաս,,,,,,,,
conjunctive normal form,կոնյունկտիվ նորմալ ձև,,,,,,,,
connected,կապակցված,,,,,,,,
connected component,կապակցվածության բաղադրիչ,,,,,,,,
connectedness,կապակցվածություն,,,,,,,,
connection,կապակցություն,,,,,,,,
consistency,1․ անհակասականություն (ֆորմալ համակարգի մասին) 2․ ունակություն (գնահատականի մասին),,,,,,,,
constant,հաստատուն,,,,,,,,
constant term,ազատ անդամ,,,,,,,,
continued fraction,շղթայական կոտորակ,,,,,,,,
continuity,անընդհատություն,,,,,,,,
continuous,անընդհատ,,,,,,,,
continuous dependence,անընդհատ կախվածություն,,,,,,,,
continuous representative,անընդհատ ներկայացուցիչ,,,,,,,,
continuum,կոնտինուում,,,,,,,,
continuum hypothesis,կոնտինուում-վարկած,,,,,,,,
contour,կոնտուր,,,,,,,,
contraction,"կծկում, սեղմում",,,,,,,,
contraction mapping,սեղմող արտապատկերում,,,,,,,,
contradiction,հակասություն,,,,,,,,
convergence,զուգամիտություն,,,,,,,,
convergent in distribution,ըստ բաշխման զուգամետ,,,,,,,,
convergent in measure / probability,ըստ չափի / հավանականության զուգամետ,,,,,,,,
convergent in norm,"ըստ նորմի զուգամետ, նորմով զուգամետ",,,,,,,,
convex,ուռուցիկ,,,,,,,,
convex combination,ուռուցիկ զուգակցություն/կոմբինացիա,,,,,,,,
convex envelope / hull,ուռուցիկ թաղանթ,,,,,,,,
convexity,ուռուցիկություն,,,,,,,,
convolution,փաթույթ,,,,,,,,
coordinate,կոորդինատ,,,,,,,,
coordinate system,կոորդինատային / կոորդինատական համակարգ,,,,,,,,
coordinatewise convergence,կոորդինատային զուգամիտություն,,,,,,,,
coplanar,համահարթ,,,,,,,,
coprime,փոխադարձ[աբար] պարզ,,,,,,,,
coproduct,կոարտադրյալ,,,,,,,,
corollary,հետևանք,,,,,,,,
correlation,կոռելացիա,,,,,,,,
coset,հարակից դաս,,,,,,,,
countable set,հաշվելի բազմություն,,,,,,,,
counterexample,հակաօրինակ,,,,,,,,
counting measure,հաշվող չափ,,,,,,,,
covariance matrix,կովարիացիոն մատրից,,,,,,,,
covering space,"ծածկող տարածություն, ծածկոց",,,,,,,,
critical point,կրիտիկական կետ,,,,,,,,
cross product,վեկտորական արտադրյալ,,,,,,,,
cross-ratio,կրկնակի հարաբերություն,,,,,,,,
cube,խորանարդ,,,,,,,,
cumulative distribution function (cdf),բաշխման ֆունկցիա,,,,,,,,
curvature,կորություն,,,,,,,,
curvilinear,կորագիծ,,,,,,,,
curvilinear trapezoid,կորագիծ սեղան,,,,,,,,
cycle,ցիկլ,,,,,,,,
cyclic group,"ցիկլիկ խումբ, միածին խումբ",,,,,,,,
cyclotomic polynomial,ցիկլոտոմիկ բազմանդամ,,,,,,,,
cylinder,գլան,,,,,,,,
decimal,տասնորդական,,,,,,,,
decreasing,նվազող,,,,,,,,
Dedekind cut,Դեդեկինդի հատույթ,,,,,,,,
deduction,դեդուկցիա,,,,,,,,
defining relations,որոշիչ առնչություններ,,,,,,,,
definition,սահմանում,,,,,,,,
degenerate,վերասերված,,,,,,,,
degree,աստիճան,,,,,,,,
degrees of freedom,ազատության աստիճաններ,,,,,,,,
denominator,հայտարար,,,,,,,,
dense,"խիտ, երբեմն՝ ամենուրեք խիտ",,,,,,,,
density,խտություն,,,,,,,,
density point,խտության կետ,,,,,,,,
derivative,ածանցյալ,,,,,,,,
descriptive statistics,նկարագրական վիճակագրություն,,,,,,,,
determinant,որոշիչ,,,,,,,,
diagonal,անկյունագիծ,,,,,,,,
diagonal dominance,անկյունագծային գերիշխում,,,,,,,,
diagonal matrix,անկյունագծային մատրից,,,,,,,,
diagonal matrix,անկյունագծային մատրից,,,,,,,,
diagonalization,անկյունագծայնացում,,,,,,,,
diameter,տրամագիծ,,,,,,,,
diametrically opposite ,տրամագծորեն հակադիր,,,,,,,,
diffeomorphism,դիֆեոմորֆիզմ,,,,,,,,
difference,տարբերություն,,,,,,,,
difference equation,տարբերական հավասարում,,,,,,,,
differentiable,"դիֆերենցելի, ածանցելի",,,,,,,,
differential form,դիֆերենցիալ ձև,,,,,,,,
differential form,դիֆերենցիալ ձև,,,,,,,,
digraph (=directed graph),դիգրաֆ (=կողմնորոշված գրաֆ),,,,,,,,
dihedral angle,երկնիստ անկյուն,,,,,,,,
dimension,չափողականություն,,,,,,,,
dimensionality reduction,չափողականության իջեցում,,,,,,,,
Dirac operator,Դիրակի օպերատոր,,,,,,,,
direct product,ուղիղ արտադրյալ,,,,,,,,
direct sum,ուղիղ գումար,,,,,,,,
directed line segment,ուղղորդված հատված,,,,,,,,
direction cosine,ուղղորդ կոսինուս,,,,,,,,
direction field,ուղղությունների դաշտ,,,,,,,,
directional derivative,ուղղությամբ ածանցյալ,,,,,,,,
directly proportional,ուղիղ համեմատական,,,,,,,,
discontinuity,խզում,,,,,,,,
discrete distribution,դիսկրետ բաշխում,,,,,,,,
discriminant,դիսկրիմինանտ,,,,,,,,
disjoint,"չհատվող, անհամատեղելի (պատահույթների դեպքում)",,,,,,,,
disjunctive normal form,դիզյունկտիվ նորմալ ձև,,,,,,,,
disk,շրջան,,,,,,,,
distance,հեռավորություն,,,,,,,,
distributive,բաշխական,,,,,,,,
divergence,"1․ տարամիտություն (շարքի), 2․ դիվերգենցիա (վեկտորական դաշտի) ",,,,,,,,
divided difference,բաժանվող տարբերություն,,,,,,,,
division algebra,բաժանումով հանրահաշիվ,,,,,,,,
divisor,բաժանարար,,,,,,,,
domain,"1․ տիրույթ (բաց կապակցված բազմություն), 2․ որոշման տիրույթ (ֆունկցիայի)",,,,,,,,
dominated convergence theorem,"Լեբեգի թեորեմ, մաժորանտով զուգամիտության թեորեմ ",,,,,,,,
dot product,սկալյար արտադրյալ,,,,,,,,
double factorial,կիսաֆակտորիալ,,,,,,,,
double integral,կրկնակի ինտեգրալ,,,,,,,,
dual space,համալուծ տարածություն,,,,,,,,
duality,"երկակիություն, համալուծություն",,,,,,,,
edge,"1․ կողմ (բազմանկյան մեջ), 2․ կող (գրաֆի մեջ)",,,,,,,,
efficient estimator,արդյունավետ գնահատական,,,,,,,,
eigenspace,սեփական տարածություն,,,,,,,,
eigenvalue,սեփական արժեք,,,,,,,,
eigenvector,սեփական վեկտոր,,,,,,,,
element,"տարր, էլեմենտ",,,,,,,,
elementary matrix,տարրական մատրից,,,,,,,,
elementary row operation,տարրական տողային գործողություն / ձևափոխություն,,,,,,,,
elliptic,էլիպտիկ / էլիպտական ,,,,,,,,
embedding,ներդրում,,,,,,,,
empty set,դատարկ բազմություն,,,,,,,,
enclosed volume,պարփակված ծավալ,,,,,,,,
endomorphism,էնդոմորֆիզմ,,,,,,,,
endpoint,ծայրակետ,,,,,,,,
entire function,ամբողջ ֆունկցիա,,,,,,,,
entropy,էնտրոպիա,,,,,,,,
epimorphism,էպիմորֆիզմ,,,,,,,,
equality,հավասարում,,,,,,,,
equation,հավասարություն,,,,,,,,
equiareal ,հավասարամեծ,,,,,,,,
equicontinuous,հավասարաստիճան անընդհատ,,,,,,,,
equidistant,հավասարահեռ,,,,,,,,
equidistributed,հավասարաչափ բաշխված,,,,,,,,
equilateral,հավասարակողմ,,,,,,,,
equinumerous,"հավասարազոր, հավասարաքանակ",,,,,,,,
equiprobable,"հավասարահավանական, հավասարահնարավոր",,,,,,,,
equivalence relation,համարժեքության հարաբերություն,,,,,,,,
equivalent,համարժեք,,,,,,,,
ergodic,էրգոդիկ,,,,,,,,
error,սխալանք,,,,,,,,
essential singular point,էապես եզակի կետ,,,,,,,,
estimator,գնահատական,,,,,,,,
Euclidean algorithm,Էվկլիդեսի ալգորիթմ,,,,,,,,
Euler's number,Էյլերի թիվ,,,,,,,,
Eulerian path / trail,էյլերյան ճանապարհ,,,,,,,,
even,զույգ,,,,,,,,
event,պատահույթ,,,,,,,,
everywhere dense,ամենուրեք խիտ,,,,,,,,
exact differential,"լրիվ դիֆերենցիալ, երբեմն նաև՝ ճշգրիտ դիֆերենցիալ",,,,,,,,
exhaustion by compact sets,կոմպակտ սպառում,,,,,,,,
existence,գոյություն,,,,,,,,
expectation / expected value,մաթսպասում (=մաթեմատիկական սպասում),,,,,,,,
explicit,բացահայտ,,,,,,,,
exponent,"էքսպոնենտ, ցուցիչ",,,,,,,,
exponential,"ցուցչային, էքսպոնենցիալ",,,,,,,,
extended $\mathbb{R}$,ընդլայնված $\mathbb{R}$,,,,,,,,
extension,"1․ ընդլայնում (հանրահաշվական օբյեկտի), 2․ շարունակություն (ֆունկցիայի)",,,,,,,,
exterior,արտաքնամաս,,,,,,,,
external point,արտաքին կետ,,,,,,,,
extreme point,գագաթնային կետ,,,,,,,,
face,նիստ,,,,,,,,
Fatou's lemma,Ֆատուի լեմմա,,,,,,,,
fiber,շերտ,,,,,,,,
Fibonacci sequence,Ֆիբոնաչիի հաջորդականություն,,,,,,,,
field,դաշտ,,,,,,,,
field characteristic,դաշտի բնութագրիչ,,,,,,,,
field extension,դաշտի ընդլայնում,,,,,,,,
filtration,ֆիլտրացիա,,,,,,,,
finer topology,[ավելի] ուժեղ տոպոլոգիա,,,,,,,,
finite complement topology,վերջավոր լրացումների տոպոլոգիա,,,,,,,,
finite difference method,վերջավոր տարբերությունների մեթոդ,,,,,,,,
finite element method,վերջավոր տարրերի/էլեմենտների մեթոդ,,,,,,,,
finite group,վերջավոր խումբ,,,,,,,,
finite measure space,վերջավոր չափով տարածություն,,,,,,,,
finite-dimensional,վերջավոր չափանի,,,,,,,,
finitely generated,վերջավոր ծնված,,,,,,,,
finitely presented,վերջավոր տրված,,,,,,,,
first fundamental form,"առաջին ֆունդամենտալ ձև, առաջին քառակուսային ձև",,,,,,,,
first isomorphism theorem,"հոմոմորֆիզմների հիմնական թեորեմ, իզոմորֆիզմների առաջին թեորեմ",,,,,,,,
fixpoint / fixed point,անշարժ կետ,,,,,,,,
flux,հոսք,,,,,,,,
focus,"կիզակետ, ֆոկուս",,,,,,,,
forest,անտառ,,,,,,,,
formula,բանաձև,,,,,,,,
forward equation,ուղղակի հավասարում,,,,,,,,
Fourier coefficient,Ֆուրյեի գործակից,,,,,,,,
Fourier series,Ֆուրյեի շարք,,,,,,,,
Fourier transform,Ֆուրյեի ձևափոխություն,,,,,,,,
fractional part,կոտորակային մաս,,,,,,,,
Fréchet derivative,Ֆրեշեի ածանցյալ,,,,,,,,
Fredholm alternative,Ֆրեդհոլմի այլընտրանք,,,,,,,,
free boundary problem,ազատ եզրով խնդիր,,,,,,,,
free group,ազատ խումբ,,,,,,,,
free product,ազատ արտադրյալ,,,,,,,,
free variable,ազատ փոփոխական,,,,,,,,
free vector,ազատ վեկտոր,,,,,,,,
frequency,հաճախություն,,,,,,,,
function,ֆունկցիա,,,,,,,,
functional,ֆունկցիոնալ,,,,,,,,
functor,ֆունկտոր,,,,,,,,
fundamental group,ֆունդամենտալ խումբ,,,,,,,,
fundamental solution,հիմնարար լուծում,,,,,,,,
fundamental theorem of calculus,Նյուտոն-Լայբնիցի բանաձև,,,,,,,,
Galois theory,Գալուայի տեսություն,,,,,,,,
gamma distribution,գամմա բաշխում,,,,,,,,
Gâteaux derivative,Գատոյի ածանցյալ,,,,,,,,
Gauss-Seidel method,Գաուս-Զեյդելի մեթոդ,,,,,,,,
Gaussian process,գաուսյան պրոցես,,,,,,,,
general solution,ընդհանուր լուծում,,,,,,,,
general term,ընդհանուր անդամ,,,,,,,,
generalized function,ընդհանրացված ֆունկցիա,,,,,,,,
generating set,ծնիչ/ծնորդ բազմություն,,,,,,,,
generator,"ծնիչ, ծնորդ",,,,,,,,
genus,սեռ,,,,,,,,
geodesic,գեոդեզիկ,,,,,,,,
geometric distribution,երկրաչափական բաշխում,,,,,,,,
geometric mean,միջին երկրաչափական,,,,,,,,
global extremum,գլոբալ էքստրեմում,,,,,,,,
gradient,գրադիենտ,,,,,,,,
gradient descent,գրադիենտային վայրէջք,,,,,,,,
Gram matrix,Գրամի մատրից,,,,,,,,
graph,"1․ գրաֆ (կոմբինատորիկա), 2․ գրաֆիկ (ֆունկցիայի)",,,,,,,,
graph homomorphism,գրաֆների հոմոմորֆիզմ,,,,,,,,
graph traversal,գրաֆի շրջանցում,,,,,,,,
greatest common divisor,ամենամեծ ընդհանուր բաժանարար,,,,,,,,
greedy algorithm,ագահ ալգորիթմ,,,,,,,,
group,խումբ,,,,,,,,
group action,խմբի ազդեցություն,,,,,,,,
group homomorphism,խմբերի հոմոմորֆիզմ,,,,,,,,
group operation,խմբի գործողություն,,,,,,,,
grouping,խմբավորում,,,,,,,,
groupoid,"խմբոիդ, խմբակերպ",,,,,,,,
half-open / half-closed,կիսաբաց / կիսափակ,,,,,,,,
half-plane,կիսահարթություն,,,,,,,,
half-space,կիսատարածություն,,,,,,,,
Hardy-Littlewood maximal function,Հարդի-Լիթլվուդի մաքսիմալ ֆունկցիա,,,,,,,,
harmonic conjugate,հարմոնիկ համալուծ,,,,,,,,
harmonic function,հարմոնիկ ֆունկցիա,,,,,,,,
harmonic mean,միջին հարմոնիկ,,,,,,,,
Hausdorff space,հաուսդորֆյան տարածություն,,,,,,,,
heat equation,ջերմահաղորդականության հավասարում,,,,,,,,
hemisphere ,"կիսագունդ, կիսասֆերա",,,,,,,,
hereditary property,ժառանգական հատկություն,,,,,,,,
Hermitian matrix,էրմիտյան մատրից,,,,,,,,
Hessian matrix,հեսիան մատրից,,,,,,,,
higher-order derivatives,բարձր կարգի ածանցյալներ,,,,,,,,
Hilbert space,հիլբերտյան տարածություն,,,,,,,,
Hilbert transform,Հիլբերտի ձևափոխություն,,,,,,,,
holomorphic function,հոլոմորֆ ֆունկցիա,,,,,,,,
homeomorphism,հոմեոմորֆիզմ,,,,,,,,
homogeneous,համասեռ,,,,,,,,
homology,հոմոլոգիա,,,,,,,,
homology group,հոմոլոգիական խումբ,,,,,,,,
homotopy,հոմոտոպիա,,,,,,,,
